id,airline,flight,source,departure,stops,arrival,destination,class,duration,days_left,price
84,Vistara,UK-880,Hyderabad,Afternoon,one,Night,Mumbai,Business,,21.0,60555
85,Indigo,0.00E+00,Mumbai,Night,zero,Late_Night,Chennai,Economy,2.08,46.0,3000
86,Vistara,UK-706,Kolkata,Morning,one,Night,Chennai,Economy,,4.0,16359
87,Vistara,UK-944,Mumbai,Afternoon,one,Evening,Hyderabad,Business,5.17,47.0,58125
88,Vistara,UK-828,Chennai,Early_Morning,one,Afternoon,Delhi,Business,5.67,8.0,57920
89,Vistara,UK-838,Chennai,Night,one,Night,Kolkata,Economy,25.67,48.0,5937
90,Vistara,UK-873,Mumbai,,one,Afternoon,Delhi,Business,6.33,40.0,41269
91,Vistara,UK-897,Bangalore,,one,Night,Mumbai,Economy,15.08,,4792
92,AirAsia,I5-336,Mumbai,,one,Morning,Kolkata,Economy,12.83,41.0,2836
93,AirAsia,I5-747,Delhi,Evening,one,Morning,Hyderabad,Economy,13.75,,4139
94,Vistara,UK-708,Kolkata,Night,one,Night,Mumbai,Economy,,37.0,6711
95,Indigo,0.00E+00,Mumbai,Evening,zero,Night,Delhi,Economy,2.08,29.0,2339
96,GO_FIRST,G8-515,Hyderabad,Morning,one,Evening,Delhi,Economy,7.5,12.0,6132
97,Vistara,UK-910,Mumbai,Evening,one,Night,Hyderabad,Economy,5.33,25.0,4656
98,,UK-865,Mumbai,,zero,Night,Bangalore,Business,1.75,17.0,20684
99,,UK-857,Mumbai,Night,one,Morning,Delhi,Business,13.67,31.0,53152
100,,SG-612,Chennai,Night,one,Night,Delhi,Economy,24.0,3.0,7352
101,Vistara,UK-828,Chennai,Early_Morning,one,Night,Hyderabad,Economy,13.92,7.0,13169
102,Indigo,0.00E+00,Mumbai,Evening,one,Night,Bangalore,Economy,4.42,25.0,4056
103,Vistara,UK-960,Mumbai,Morning,one,Night,Chennai,Business,8.33,11.0,61933
104,Vistara,UK-877,Mumbai,Morning,one,Evening,Bangalore,Economy,8.75,24.0,4962
105,,UK-772,Kolkata,Morning,one,Morning,Chennai,Business,25.42,32.0,55502
106,,0.00E+00,Mumbai,Early_Morning,zero,Early_Morning,Delhi,Economy,2.08,25.0,2339
107,,G8-365,Mumbai,Early_Morning,one,Morning,Delhi,Economy,4.5,9.0,10589
108,Air_India,AI-503,Bangalore,Evening,one,Morning,Hyderabad,Economy,,27.0,5780
109,GO_FIRST,G8-336,Delhi,,one,Night,Kolkata,Economy,9.25,,5954
110,Vistara,UK-776,Kolkata,Evening,one,Morning,Delhi,Business,17.42,35.0,68303
111,,AI-806,Mumbai,Early_Morning,one,Morning,Bangalore,Economy,24.92,19.0,6082
112,GO_FIRST,G8-515,Hyderabad,Morning,one,Evening,Delhi,Economy,9.0,17.0,6132
113,Air_India,AI-541,Hyderabad,,one,Night,Mumbai,Economy,5.92,33.0,4363
114,Vistara,UK-828,Chennai,,one,Night,Delhi,Business,,15.0,57920
115,AirAsia,I5-410,Bangalore,Early_Morning,one,Evening,Delhi,Economy,12.0,24.0,4112
116,,AI-539,Chennai,Evening,one,Morning,Hyderabad,Business,17.5,18.0,71901
117,Indigo,6.00E-282,Delhi,Morning,zero,Afternoon,Kolkata,Economy,2.17,,3999
118,AirAsia,I5-972,Bangalore,Evening,zero,Evening,Hyderabad,Economy,1.33,22.0,1714
119,Vistara,UK-627,Delhi,Afternoon,one,Afternoon,Mumbai,Business,,17.0,37417
120,Indigo,0.00E+00,Hyderabad,Early_Morning,one,Afternoon,Bangalore,Economy,8.42,25.0,5136
121,Air_India,AI-616,Hyderabad,Morning,one,Night,Delhi,Business,12.08,47.0,39499
122,Indigo,0.00E+00,Delhi,,one,Evening,Hyderabad,Economy,3.92,40.0,3457
123,Air_India,AI-507,Hyderabad,Morning,one,Evening,Delhi,Business,7.58,44.0,37846
124,Vistara,UK-830,Hyderabad,Morning,two_or_more,Evening,Bangalore,Economy,6.67,41.0,6461
125,AirAsia,I5-991,Kolkata,Evening,one,Morning,Delhi,Economy,16.67,26.0,3014
126,Indigo,0.00E+00,Hyderabad,Afternoon,one,Evening,Mumbai,Economy,4.75,41.0,2301
127,Air_India,AI-569,Chennai,Early_Morning,zero,Morning,Mumbai,Economy,1.75,49.0,1830
128,Vistara,UK-651,Mumbai,Evening,one,Evening,Bangalore,Business,26.17,27.0,48213
129,Indigo,0.00E+00,Mumbai,Afternoon,one,Night,Kolkata,Economy,6.33,19.0,8059
130,Indigo,0.00E+00,Hyderabad,Early_Morning,one,Afternoon,Bangalore,Economy,,40.0,1755
131,Indigo,0.00E+00,Mumbai,,one,Late_Night,Kolkata,Economy,6.67,24.0,7535
132,,UK-854,Bangalore,Evening,one,Late_Night,Delhi,Business,6.5,40.0,42521
133,Vistara,UK-810,Bangalore,Early_Morning,one,Afternoon,Mumbai,Business,7.0,14.0,61404
134,Air_India,AI-501,Bangalore,Afternoon,one,Evening,Hyderabad,Business,6.0,32.0,56476
135,Vistara,UK-944,Mumbai,Afternoon,one,Morning,Bangalore,Economy,,27.0,6450
136,Air_India,AI-541,Hyderabad,Evening,one,Morning,Kolkata,Economy,,32.0,4789
137,Indigo,0.00E+00,Hyderabad,Morning,one,Afternoon,Delhi,Economy,5.42,44.0,2276
138,Vistara,UK-874,Hyderabad,Morning,one,Evening,Kolkata,Business,9.58,23.0,79461
139,Air_India,AI-543,Hyderabad,Morning,one,Night,Mumbai,Economy,12.42,45.0,4363
140,Vistara,UK-812,Bangalore,Morning,,Evening,Kolkata,Economy,8.33,42.0,8112
141,Air_India,AI-672,Chennai,Afternoon,one,Night,Delhi,Economy,33.0,27.0,6466
142,Vistara,UK-747,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,6.5,7.0,16455
143,Vistara,UK-950,Mumbai,Night,one,Night,Chennai,Business,,23.0,61933
144,GO_FIRST,G8-505,Chennai,Evening,one,Morning,Delhi,Economy,14.83,37.0,4577
145,GO_FIRST,G8-2513,Delhi,Evening,one,Early_Morning,Kolkata,Economy,15.0,26.0,5954
146,Vistara,UK-828,Chennai,Early_Morning,one,Evening,Kolkata,Business,9.83,17.0,54896
147,Vistara,UK-852,Bangalore,Morning,one,Morning,Kolkata,Economy,24.17,16.0,6948
148,Indigo,0.00E+00,Delhi,Morning,,Afternoon,Bangalore,Economy,2.92,15.0,4500
149,GO_FIRST,G8-390,Mumbai,Early_Morning,one,Afternoon,Hyderabad,Economy,9.67,36.0,4793
150,Vistara,UK-778,Kolkata,Afternoon,one,Night,Mumbai,Business,7.5,27.0,60351
151,Vistara,UK-829,Delhi,Early_Morning,two_or_more,Evening,Kolkata,Business,12.42,29.0,78913
152,Vistara,UK-836,Chennai,Morning,one,Evening,Hyderabad,Business,6.25,,51457
153,Air_India,AI-807,Delhi,Evening,one,Early_Morning,Kolkata,Economy,11.92,10.0,15195
154,SpiceJet,SG-8152,Mumbai,Early_Morning,,Morning,Kolkata,Economy,25.75,28.0,5289
155,Indigo,0.00E+00,Bangalore,Night,,Night,Hyderabad,Economy,1.25,21.0,2343
156,,AI-868,Delhi,Evening,one,Night,Kolkata,Business,5.67,6.0,53209
157,Vistara,UK-776,Kolkata,Evening,one,Morning,Bangalore,Business,15.25,7.0,52287
158,GO_FIRST,G8-118,Bangalore,,one,Morning,Mumbai,Economy,12.25,22.0,5177
159,Indigo,0.00E+00,Bangalore,Evening,one,Night,Delhi,Economy,7.42,20.0,3788
160,AirAsia,I5-588,Kolkata,Afternoon,one,Late_Night,Delhi,Economy,13.83,17.0,7466
161,Vistara,UK-738,Kolkata,Evening,,Afternoon,Mumbai,Business,20.25,14.0,62591
162,Air_India,AI-429,Chennai,Afternoon,two_or_more,Evening,Bangalore,Economy,29.17,,13128
163,AirAsia,I5-1517,Hyderabad,Evening,one,Late_Night,Delhi,Economy,9.58,17.0,12224
164,Vistara,UK-846,Bangalore,Morning,one,Evening,Kolkata,Economy,11.42,22.0,7053
165,Air_India,AI-808,Bangalore,Night,,Night,Mumbai,Economy,24.58,47.0,6578
166,Indigo,6.00E-161,Bangalore,Afternoon,one,Evening,Mumbai,Economy,,28.0,4557
167,Vistara,UK-858,Bangalore,Early_Morning,one,Morning,Chennai,Economy,26.17,47.0,4672
168,GO_FIRST,G8-227,Kolkata,Early_Morning,one,Afternoon,Bangalore,Economy,9.17,11.0,13391
169,Indigo,0.00E+00,Mumbai,Evening,one,Night,Bangalore,Economy,5.67,10.0,5103
170,Indigo,0.00E+00,Delhi,Evening,zero,Night,Kolkata,Economy,2.17,,3999
171,Indigo,0.00E+00,Chennai,Afternoon,zero,Afternoon,Bangalore,Economy,1.17,42.0,1443
172,Vistara,UK-824,Chennai,Night,one,Morning,Delhi,Business,14.5,14.0,60160
173,Air_India,AI-640,Bangalore,Early_Morning,zero,Morning,Mumbai,Economy,,,5179
174,SpiceJet,SG-8721,Delhi,Early_Morning,one,Night,Kolkata,Economy,14.08,,18871
175,Vistara,UK-860,Hyderabad,Early_Morning,one,Afternoon,Bangalore,Economy,9.17,,13282
176,Air_India,AI-9547,Bangalore,Evening,one,Evening,Mumbai,Economy,21.58,5.0,8959
177,,UK-776,Kolkata,Evening,one,Night,Chennai,Economy,5.5,23.0,7284
178,Indigo,0.00E+00,Delhi,Late_Night,one,Morning,Bangalore,Economy,6.67,34.0,4136
179,Indigo,0.00E+00,Bangalore,Evening,one,Night,Kolkata,Economy,6.33,24.0,4392
180,Indigo,0.00E+00,Mumbai,Morning,one,Evening,Delhi,Economy,8.75,25.0,2339
181,,AI-525,Hyderabad,Early_Morning,one,Evening,Delhi,Economy,12.0,43.0,4593
182,Air_India,AI-430,Chennai,,two_or_more,Morning,Kolkata,Economy,23.08,6.0,15123
183,GO_FIRST,G8-227,Kolkata,Early_Morning,one,Evening,Mumbai,Economy,11.25,13.0,7958
184,Vistara,UK-822,Chennai,Morning,one,Night,Delhi,Economy,12.17,40.0,5606
185,Vistara,UK-899,Delhi,Afternoon,one,Night,Mumbai,Business,8.25,47.0,41281
186,Air_India,AI-9547,Bangalore,Evening,two_or_more,Early_Morning,Chennai,Economy,12.33,30.0,6208
187,,0.00E+00,Delhi,,one,Night,Chennai,Economy,6.42,,4769
188,Vistara,UK-878,Hyderabad,Afternoon,one,Evening,Bangalore,Business,4.83,13.0,38099
189,Vistara,UK-832,Chennai,Early_Morning,one,Night,Mumbai,Economy,16.92,41.0,4413
190,Vistara,UK-708,Kolkata,,one,Evening,Bangalore,Business,20.58,8.0,60978
191,,UK-822,Chennai,Morning,one,Night,Delhi,Economy,13.25,16.0,4971
192,AirAsia,I5-1518,Hyderabad,Evening,zero,Night,Bangalore,Economy,1.17,21.0,1776
193,Air_India,AI-631,Mumbai,Evening,one,Morning,Delhi,Business,14.08,34.0,29764
194,Air_India,AI-660,Mumbai,Evening,one,Evening,Kolkata,Business,25.17,24.0,49725
195,SpiceJet,SG-8152,Mumbai,Early_Morning,,Morning,Kolkata,Economy,25.75,12.0,7728
196,,AI-888,Mumbai,Evening,one,Morning,Hyderabad,Economy,15.5,4.0,7584
197,Indigo,0.00E+00,Kolkata,Night,one,Morning,Bangalore,Economy,11.42,18.0,6489
198,GO_FIRST,G8-101,Delhi,,one,Morning,Bangalore,Economy,6.0,41.0,6832
199,Vistara,UK-810,Bangalore,Early_Morning,one,Night,Hyderabad,Business,15.92,35.0,56588
200,Indigo,0.00E+00,Chennai,Evening,,Night,Delhi,Economy,5.25,40.0,2051
201,Indigo,0.00E+00,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.17,16.0,3570
202,,UK-812,Bangalore,Morning,zero,Afternoon,Delhi,Economy,2.92,11.0,7489
203,Vistara,UK-828,Chennai,Early_Morning,one,Evening,Kolkata,Business,12.92,12.0,54896
204,Vistara,UK-852,Bangalore,Morning,one,Evening,Delhi,Economy,6.83,,12362
205,Vistara,UK-866,Bangalore,Night,one,Night,Chennai,Economy,25.42,38.0,4672
206,Vistara,UK-960,Mumbai,Morning,one,Night,Chennai,Business,8.33,,61933
207,Indigo,0.00E+00,Bangalore,Morning,one,Evening,Mumbai,Economy,7.25,,5178
208,Vistara,UK-977,Delhi,Evening,one,Afternoon,Hyderabad,Business,17.25,14.0,53937
209,Air_India,AI-698,Hyderabad,,one,Night,Kolkata,Business,25.42,5.0,48795
210,Vistara,UK-846,Bangalore,Morning,one,Night,Hyderabad,Economy,12.42,,5322
211,Vistara,UK-878,Hyderabad,Afternoon,one,Evening,Chennai,Business,7.0,24.0,41314
212,Indigo,0.00E+00,Delhi,Early_Morning,one,Morning,Kolkata,Economy,6.17,21.0,3677
213,Vistara,UK-864,Bangalore,Evening,one,Morning,Chennai,Economy,13.83,11.0,9241
214,Indigo,0.00E+00,Delhi,Morning,one,Afternoon,Kolkata,Economy,,35.0,8328
215,Air_India,AI-676,Kolkata,Morning,one,Night,Delhi,Economy,11.58,20.0,5810
216,SpiceJet,SG-395,Chennai,Morning,one,Morning,Delhi,Economy,24.17,,4876
217,Vistara,UK-955,Delhi,Evening,one,Morning,Bangalore,Business,15.08,44.0,57017
218,Indigo,0.00E+00,Bangalore,Early_Morning,one,Morning,Kolkata,Economy,,26.0,5202
219,SpiceJet,SG-8941,Delhi,Afternoon,one,Morning,Bangalore,Economy,20.25,18.0,5619
220,Vistara,UK-878,Hyderabad,Afternoon,one,Night,Chennai,Economy,9.83,28.0,7900
221,Vistara,UK-738,Kolkata,Evening,one,Morning,Bangalore,Economy,13.92,36.0,8111
222,GO_FIRST,G8-7556,Hyderabad,Afternoon,zero,Evening,Delhi,Economy,2.17,30.0,2276
223,,AI-640,Bangalore,Early_Morning,zero,Morning,Mumbai,Business,1.83,19.0,20760
224,Vistara,UK-996,Mumbai,,one,Morning,Bangalore,Economy,17.33,4.0,11129
225,AirAsia,I5-2472,Bangalore,Early_Morning,zero,Morning,Kolkata,Economy,2.5,38.0,3393
226,Air_India,AI-539,Chennai,Evening,one,Night,Mumbai,Economy,,,5558
227,,UK-902,Mumbai,Afternoon,one,Night,Hyderabad,Economy,7.17,16.0,3971
228,Vistara,UK-826,Chennai,Afternoon,zero,Afternoon,Mumbai,Economy,2.0,25.0,2960
229,Vistara,UK-836,Chennai,Morning,one,Evening,Bangalore,Business,6.25,33.0,60260
230,AirAsia,I5-482,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,32.0,2410
231,Indigo,0.00E+00,Mumbai,Afternoon,one,Evening,Bangalore,Economy,5.75,11.0,5103
232,Air_India,AI-687,Mumbai,Afternoon,one,Morning,Hyderabad,Economy,17.92,30.0,5625
233,Vistara,UK-988,Mumbai,,one,Morning,Kolkata,Business,12.67,21.0,62045
234,,AI-808,Bangalore,,one,Morning,Hyderabad,Business,14.92,1.0,59253
235,Vistara,UK-809,Delhi,Evening,zero,Night,Bangalore,Business,2.83,10.0,32859
236,Air_India,AI-804,Bangalore,,zero,Morning,Delhi,Economy,,13.0,8329
237,Air_India,AI-569,Chennai,,one,Night,Delhi,Business,14.92,20.0,45185
238,,G8-530,Delhi,Early_Morning,one,Evening,Kolkata,Economy,10.5,21.0,6395
239,Vistara,UK-813,Delhi,,one,Night,Mumbai,Economy,28.25,,14093
240,Vistara,UK-720,Kolkata,Early_Morning,one,Night,Chennai,Economy,15.92,23.0,8589
241,Air_India,AI-441,Delhi,Evening,one,Afternoon,Kolkata,Business,18.33,18.0,53209
242,Vistara,UK-878,Hyderabad,Afternoon,one,Evening,Delhi,Business,5.17,12.0,51875
243,,G8-790,Bangalore,Afternoon,zero,Evening,Kolkata,Economy,2.5,20.0,3393
244,Vistara,UK-832,Chennai,,one,Evening,Mumbai,Economy,11.42,20.0,6905
245,Vistara,UK-822,Chennai,Morning,one,Morning,Bangalore,Business,23.08,38.0,44144
246,Air_India,AI-538,Chennai,Night,,Evening,Kolkata,Economy,22.83,,4363
247,,UK-822,Chennai,Morning,one,Evening,Bangalore,Economy,8.0,48.0,4755
248,Air_India,AI-543,Hyderabad,Morning,two_or_more,Night,Chennai,Economy,12.25,8.0,14008
249,Air_India,AI-430,Chennai,Morning,one,Night,Mumbai,Economy,,42.0,4357
250,Vistara,UK-706,Kolkata,Morning,,Afternoon,Hyderabad,Economy,26.33,31.0,10511
251,GO_FIRST,G8-227,Kolkata,,one,Evening,Mumbai,Economy,13.08,33.0,5888
252,Vistara,UK-864,Bangalore,Evening,one,Morning,Chennai,Business,13.83,,44280
253,Vistara,UK-816,Bangalore,Morning,one,Night,Hyderabad,Economy,9.42,36.0,9884
254,Vistara,UK-981,Delhi,Night,one,Early_Morning,Hyderabad,Economy,10.17,20.0,6074
255,Air_India,AI-616,Hyderabad,Morning,one,Morning,Chennai,Economy,26.5,49.0,3813
256,Vistara,UK-818,Bangalore,Evening,one,Evening,Hyderabad,Economy,24.25,4.0,12544
257,,AI-402,Kolkata,Morning,one,Evening,Mumbai,Economy,7.58,38.0,6717
258,Air_India,AI-501,Bangalore,Afternoon,one,Night,Hyderabad,Economy,10.25,18.0,6200
259,Indigo,0.00E+00,Kolkata,Afternoon,one,Night,Mumbai,Economy,6.33,46.0,3381
260,Indigo,0.00E+00,Bangalore,Morning,one,Evening,Hyderabad,Economy,5.75,,1694
261,Vistara,UK-864,Bangalore,Evening,one,Morning,Delhi,Business,16.0,34.0,57081
262,SpiceJet,SG-387,Kolkata,Night,zero,Night,Chennai,Economy,2.25,9.0,6488
263,Air_India,AI-888,Mumbai,Evening,one,Morning,Kolkata,Economy,14.0,46.0,4977
264,Vistara,UK-778,Kolkata,Afternoon,one,Night,Bangalore,Economy,8.0,19.0,8111
265,Vistara,UK-657,Bangalore,Morning,one,Evening,Delhi,Business,,26.0,45097
266,Indigo,0.00E+00,Kolkata,Night,zero,Late_Night,Chennai,Economy,2.33,19.0,5465
267,Indigo,0.00E+00,Mumbai,Afternoon,one,Evening,Bangalore,Economy,6.58,46.0,2124
268,Air_India,AI-616,Hyderabad,Morning,one,Morning,Bangalore,Economy,26.75,21.0,4268
269,,UK-897,Bangalore,Early_Morning,two_or_more,Evening,Kolkata,Economy,11.67,39.0,7106
270,AirAsia,I5-766,Hyderabad,Night,,Early_Morning,Mumbai,Economy,9.67,45.0,2250
271,,UK-898,Hyderabad,Early_Morning,one,Night,Mumbai,Economy,15.75,34.0,3471
272,Air_India,AI-402,Kolkata,Morning,one,Night,Mumbai,Business,11.17,19.0,50271
273,,I5-767,Mumbai,Early_Morning,one,Evening,Kolkata,Economy,12.17,21.0,3622
274,Air_India,AI-409,Delhi,Morning,one,Evening,Mumbai,Economy,7.25,36.0,5927
275,Vistara,UK-811,Delhi,Early_Morning,two_or_more,Evening,Kolkata,Business,14.0,23.0,84222
276,,UK-958,Mumbai,Afternoon,one,Night,Hyderabad,Economy,10.5,,4414
277,GO_FIRST,G8-188,Delhi,Evening,one,Night,Kolkata,Economy,4.92,,3198
278,Air_India,AI-808,Bangalore,Night,one,Morning,Kolkata,Economy,12.0,46.0,7004
279,Air_India,AI-888,Mumbai,Evening,one,Afternoon,Chennai,Business,17.67,,49613
280,Vistara,UK-820,Bangalore,Evening,one,Morning,Chennai,Economy,16.17,48.0,6161
281,Air_India,AI-675,Mumbai,Early_Morning,one,Night,Delhi,Economy,16.83,3.0,12978
282,GO_FIRST,G8-341,Mumbai,Night,zero,Night,Delhi,Economy,2.25,47.0,2339
283,AirAsia,I5-1983,Bangalore,Afternoon,zero,Afternoon,Hyderabad,Economy,1.08,34.0,1714
284,Vistara,UK-774,Kolkata,Night,one,Night,Bangalore,Business,26.25,42.0,52287
285,Air_India,AI-506,Delhi,Morning,zero,Afternoon,Bangalore,Business,2.75,13.0,32859
286,,AI-504,Delhi,Night,one,Morning,Hyderabad,Business,11.58,,44405
